YearOfObservation,Insured_Period,Residential,Building Dimension,Building_Type,NumberOfWindows,Claim,Building_Painted,Building_Fenced,Garden,Settlement,Painted_Fenced_Garden,Painted_Fenced,Garden_Settlement,Fenced_Garden_Settlement,Painted_Fenced_Settlement,Painted_Fenced_Garden_Settlement
2013,1,0,1800,3,4,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,660,3,5,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,3143,3,5,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,2850,2,5,0,1,0,0,0,2,2,0,0,2,2
2016,1,1,4750,2,6,1,1,0,0,0,2,2,0,0,2,2
2013,1,1,5346,1,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,1,5346,1,5,0,1,0,0,0,2,2,0,0,2,2
2013,0.915068493,1,2400,2,6,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,770,2,4,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,536,2,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,3500,2,3,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,3500,2,3,1,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,1200,2,3,1,0,1,1,1,1,1,2,4,1,1
2012,1,1,700,2,3,0,0,1,1,1,1,1,2,4,1,1
2012,1,1,650,2,3,0,0,1,1,1,1,1,2,4,1,1
2012,0.915300546,0,330,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,1365,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,1,1083,2,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1050,2,4,0,1,0,0,0,2,2,0,0,2,2
2016,1,0,1050,2,4,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1076,3,4,0,1,0,0,0,2,2,0,0,2,2
2012,0.674863388,0,500,3,4,0,0,1,1,1,1,1,2,4,1,1
2013,0.753424658,1,600,3,4,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,220,3,4,0,1,0,0,0,2,2,0,0,2,2
2013,0.783561644,1,300,3,5,0,0,1,1,1,1,1,2,4,1,1
2014,1,1,4144,3,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,850,2,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,850,2,4,0,1,0,0,0,2,2,0,0,2,2
2014,0.17260274,0,850,2,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,2578,3,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,2200,3,5,0,1,0,0,0,2,2,0,0,2,2
2013,0.665753425,1,2200,3,5,1,1,0,0,0,2,2,0,0,2,2
2012,1,1,800,3,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,220,3,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,400,3,4,1,1,0,0,0,2,2,0,0,2,2
2012,1,1,15620,3,10,1,1,0,0,0,2,2,0,0,2,2
2014,1,1,15620,3,10,1,1,0,0,0,2,2,0,0,2,2
2014,1,1,9182,3,8,0,1,0,0,0,2,2,0,0,2,2
2015,1,1,9182,3,8,1,1,0,0,0,2,2,0,0,2,2
2012,0.071038251,0,1300,3,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1300,3,5,0,1,0,0,0,2,2,0,0,2,2
2014,0,0,1762,3,4,0,1,0,0,0,2,2,0,0,2,2
2013,0.906849315,0,260,3,4,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,400,3,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,700,3,3,0,1,0,0,0,2,2,0,0,2,2
2016,0,0,400,3,3,0,1,0,0,0,2,2,0,0,2,2
2016,0.75136612,1,470,2,3,0,1,0,0,0,2,2,0,0,2,2
2012,0,0,190,3,3,0,1,1,1,1,5,3,2,4,4,4
2016,0,0,190,3,3,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,436,2,3,1,0,1,1,1,1,1,2,4,1,1
2012,1,0,450,3,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,150,3,3,0,1,1,1,1,5,3,2,4,4,4
2012,1,1,800,2,3,1,0,1,1,1,1,1,2,4,1,1
2013,1,0,335,3,3,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,3600,2,3,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,3600,2,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,660,3,4,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,660,3,4,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,450,3,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,4432,2,6,1,0,1,1,1,1,1,2,4,1,1
2013,1,0,4812,2,6,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,3200,3,3,1,0,1,1,1,1,1,2,4,1,1
2014,1,0,4463,2,3,1,0,1,1,1,1,1,2,4,1,1
2012,1,0,1934,2,3,1,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,4500,2,3,1,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,1960,2,3,1,0,1,1,1,1,1,2,4,1,1
2012,1,0,6250,2,3,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,800,2,3,1,0,1,1,1,1,1,2,4,1,1
2012,1,0,1200,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,0.493150685,1,1100,3,7,1,0,1,1,1,1,1,2,4,1,1
2014,0.293150685,0,4400,3,7,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,1800,3,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,500,3,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,500,3,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,4045,2,5,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,520,2,4,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,1046,3,4,1,0,1,1,1,1,1,2,4,1,1
2013,1,0,900,3,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,900,3,4,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1450,3,4,0,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,2900,3,4,1,0,1,1,1,1,1,2,4,1,1
2012,1,0,620,3,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,620,3,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,10900,3,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,10900,3,5,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,10900,3,5,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,660,3,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,5464,3,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,4500,3,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,700,3,4,0,1,0,0,0,2,2,0,0,2,2
2013,0.487671233,0,300,2,2,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,550,3,3,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,843,2,4,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,19195,2,6,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,580,2,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,1,520,2,5,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,720,2,5,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,1734,2,4,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,11389,2,10,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,3628,2,6,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1200,2,4,1,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,11768,2,4,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,872,2,3,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,2755,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1466,2,4,1,1,0,0,0,2,2,0,0,2,2
2013,1,1,225,2,2,0,1,0,0,0,2,2,0,0,2,2
2014,1,1,350,2,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,350,2,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,400,2,3,1,1,0,0,0,2,2,0,0,2,2
2013,0.495890411,0,191,2,7,0,0,1,1,1,1,1,2,4,1,1
2012,0.196721311,0,634,1,7,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,900,1,7,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,2800,1,7,0,1,1,1,1,5,3,2,4,4,4
2014,0.709589041,0,2000,1,7,0,1,1,1,1,5,3,2,4,4,4
2013,0.495890411,0,400,1,7,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,11000,1,7,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,3900,1,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,3900,1,5,1,1,0,0,0,2,2,0,0,2,2
2015,0.517808219,0,568,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,362,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,0.41369863,0,272,2,5,0,0,1,1,1,1,1,2,4,1,1
2016,1,1,150,2,5,0,0,1,1,1,1,1,2,4,1,1
2016,1,0,750,2,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,630,2,4,0,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,630,2,4,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,465,2,4,0,1,1,1,1,5,3,2,4,4,4
2013,0.161643836,0,465,2,4,0,1,1,1,1,5,3,2,4,4,4
2013,0.161643836,0,225,2,4,0,1,1,1,1,5,3,2,4,4,4
2013,0.301369863,0,120,2,4,0,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,690,2,4,0,1,0,0,0,2,2,0,0,2,2
2013,0.161643836,0,280,2,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,520,2,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,200,2,3,0,1,1,1,1,5,3,2,4,4,4
2016,1,0,145,2,3,0,0,1,1,1,1,1,2,4,1,1
2013,0.41369863,0,420,2,3,0,1,1,1,1,5,3,2,4,4,4
2014,0.747945205,0,1350,2,3,1,1,1,1,1,5,3,2,4,4,4
2015,1,0,1300,2,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,550,2,5,1,1,1,1,1,5,3,2,4,4,4
2013,0.495890411,0,550,2,5,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,630,2,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,3950,2,3,1,1,1,1,1,5,3,2,4,4,4
2014,0,0,180,2,3,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,1650,2,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1650,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,2500,2,4,0,1,1,1,1,5,3,2,4,4,4
2014,0.838356164,0,290,2,4,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,850,2,5,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,2407,2,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,10207,2,6,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,210,2,4,0,1,1,1,1,5,3,2,4,4,4
2012,0.06557377,0,2397,2,4,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,1140,2,4,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,1100,2,4,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,166,2,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,6270,2,3,1,0,1,1,1,1,1,2,4,1,1
2013,1,0,380,2,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,1010,2,5,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1010,2,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,100,2,4,0,1,0,0,0,2,2,0,0,2,2
2014,0.495890411,0,100,2,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,445,2,6,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,445,2,6,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,7200,2,6,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,7200,2,6,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,6000,2,6,1,1,1,1,1,5,3,2,4,4,4
2013,1,0,2225,2,6,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,2225,2,6,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,850,2,4,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,335,2,4,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,1300,2,5,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,3147,2,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,3147,2,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,700,2,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,2100,2,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,480,2,2,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,632,2,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,632,2,3,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,520,2,2,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1398,2,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1590,2,5,1,1,0,0,0,2,2,0,0,2,2
2016,1,0,728,2,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,2800,2,5,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,1677,2,3,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,1677,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1000,2,2,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1000,2,2,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1630,2,3,0,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,1630,2,3,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,499,2,3,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1700,2,4,1,1,0,0,0,2,2,0,0,2,2
2016,1,0,1011,2,3,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,991,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,0,0,1750,2,3,0,1,1,1,1,5,3,2,4,4,4
2016,0.893442623,0,864,2,3,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,2000,2,4,0,0,1,1,1,1,1,2,4,1,1
2013,0.468493151,0,800,2,4,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,600,2,4,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,840,2,4,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,2800,2,4,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,1050,2,4,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,1680,2,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,560,2,2,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,1500,2,2,0,1,1,1,1,5,3,2,4,4,4
2013,0.15890411,0,1500,2,2,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,580,2,2,1,0,1,1,1,1,1,2,4,1,1
2012,1,0,300,2,2,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,940,2,2,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,600,2,2,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,1989,2,2,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,1171,2,2,0,1,0,0,0,2,2,0,0,2,2
2014,0.884931507,0,2535,2,7,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1500,2,10,1,1,1,0,0,4,3,0,2,3,3
2014,1,0,820,2,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,4400,2,7,0,1,0,0,0,2,2,0,0,2,2
2013,0.161643836,0,3350,2,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1300,2,5,0,1,0,0,0,2,2,0,0,2,2
2012,0.713114754,0,2200,2,7,0,1,0,0,0,2,2,0,0,2,2
2013,0.41369863,0,2200,2,7,1,1,0,0,0,2,2,0,0,2,2
2012,0.50273224,0,4250,2,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,600,2,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,990,2,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,3275,2,5,1,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,2400,2,5,1,1,1,1,1,5,3,2,4,4,4
2014,1,0,750,2,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,750,2,5,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,590,2,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,1050,2,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1050,2,5,0,1,0,0,0,2,2,0,0,2,2
2016,0.494535519,0,450,2,3,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,480,2,4,0,1,0,0,0,2,2,0,0,2,2
2013,0.632876712,0,1700,2,4,0,1,1,1,1,5,3,2,4,4,4
2014,0.495890411,0,400,2,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,280,2,5,1,1,1,1,1,5,3,2,4,4,4
2015,1,0,1600,2,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1400,2,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,1220,2,3,0,1,1,1,1,5,3,2,4,4,4
2012,0,0,800,2,3,0,1,1,1,1,5,3,2,4,4,4
2013,0,0,800,2,3,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,965,2,3,0,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,965,2,3,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,980,2,3,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,900,2,3,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,474,2,3,0,1,1,1,1,5,3,2,4,4,4
2014,0.471232877,0,465,2,3,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,570,2,3,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,350,2,3,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,1750,2,3,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,400,1,3,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,400,1,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,420,1,3,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,420,1,3,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,6600,1,3,0,1,0,0,0,2,2,0,0,2,2
2014,1,1,3500,1,5,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,5490,1,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,600,1,4,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,600,1,4,0,1,0,0,0,2,2,0,0,2,2
2013,0.747945205,0,2985,1,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1050,1,4,0,1,0,0,0,2,2,0,0,2,2
2014,0,1,630,1,5,1,1,1,1,1,5,3,2,4,4,4
2013,1,0,1558,1,5,1,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,1558,1,5,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,1200,1,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1800,1,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,4575,1,2,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,2250,1,3,1,1,0,0,0,2,2,0,0,2,2
2016,1,0,2250,1,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,3781,1,5,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,3500,1,4,1,1,0,0,0,2,2,0,0,2,2
2016,0.836065574,0,1400,1,4,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,600,1,3,0,1,0,0,0,2,2,0,0,2,2
2013,0.665753425,0,4070,1,5,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,1356,1,5,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,1356,1,5,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,3910,1,5,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,3910,1,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,450,1,4,0,1,0,0,0,2,2,0,0,2,2
2013,0.747945205,0,450,1,4,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,450,1,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1740,1,4,0,1,1,1,1,5,3,2,4,4,4
2015,1,0,2760,1,4,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,3200,1,4,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,3625,1,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1798,1,5,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,2150,1,4,0,1,0,0,0,2,2,0,0,2,2
2013,0.747945205,0,2150,1,4,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,4200,1,4,1,0,1,1,1,1,1,2,4,1,1
2013,1,0,1330,1,4,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,1330,1,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,992,1,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1200,1,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,450,2,4,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,4100,2,4,1,0,1,1,1,1,1,2,4,1,1
2016,0.99726776,0,2300,2,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,2000,2,5,1,0,1,1,1,1,1,2,4,1,1
2014,1,0,2016,2,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,1500,2,5,0,1,0,0,0,2,2,0,0,2,2
2016,1,0,910,2,6,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,580,2,6,0,0,1,1,1,1,1,2,4,1,1
2016,1,0,3015,2,6,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,4930,2,5,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,1554,2,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1554,2,4,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,2500,2,7,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,700,2,3,0,1,0,0,0,2,2,0,0,2,2
2016,1,0,3805,1,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,2700,2,3,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,2620,2,6,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,600,2,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,4955,2,3,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,4955,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1210,1,3,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,1300,2,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,650,2,6,0,1,0,0,0,2,2,0,0,2,2
2013,0,0,650,2,5,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,2050,2,5,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,2650,2,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,3950,1,4,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,800,2,4,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,600,2,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,3100,1,4,0,1,0,0,0,2,2,0,0,2,2
2013,0.747945205,0,3100,1,4,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,3100,1,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,596,2,4,0,1,0,0,0,2,2,0,0,2,2
2013,0.747945205,0,1100,2,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,900,2,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,10300,1,5,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,1020,2,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,222,2,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,700,2,4,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,700,2,4,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1595,2,5,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,6375,2,5,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,673,2,5,0,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,673,2,5,0,1,1,1,1,5,3,2,4,4,4
2013,0.747945205,0,1083,2,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1083,2,5,0,1,0,0,0,2,2,0,0,2,2
2012,0.74863388,0,1139,2,6,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,4055,2,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,4055,2,5,1,1,0,0,0,2,2,0,0,2,2
2013,1,0,4400,2,5,1,1,0,0,0,2,2,0,0,2,2
2012,1,0,1500,2,4,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,750,2,4,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,2500,2,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1142,2,5,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,720,2,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,3664,2,4,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1156,2,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,6851,2,3,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,1936,2,7,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,1640,2,5,1,1,1,1,1,5,3,2,4,4,4
2012,1,0,1130,2,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,2210,2,3,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,2210,2,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,2210,2,3,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,6048,2,5,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,1170,2,4,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1170,2,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,2700,2,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,2700,2,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,783,2,5,0,1,1,1,1,5,3,2,4,4,4
2012,1,0,2200,2,5,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,2000,2,3,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,1500,2,3,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,700,2,3,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,1495,2,3,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,1100,2,4,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,1100,2,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,4030,2,6,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,1187,2,5,0,0,1,1,1,1,1,2,4,1,1
2016,1,0,1187,2,5,0,0,1,1,1,1,1,2,4,1,1
2016,1,0,2800,2,5,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,795,2,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,1314,1,5,0,1,0,0,0,2,2,0,0,2,2
2015,1,0,7988,1,2,0,1,1,1,1,5,3,2,4,4,4
2016,0.99726776,0,7988,1,2,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,585,1,2,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,400,1,2,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,1389,1,3,0,1,0,0,0,2,2,0,0,2,2
2013,0.709589041,0,400,1,6,0,0,1,1,1,1,1,2,4,1,1
